%id dtp6 dtp6_rank
590209 36058 647
212202 36070 648
190410 36088 649
190425 36099 650
712805 36193 651
321106 36195 652
230604 36265 653
360403 36282 654
280610 36335 655
211407 36365 656
130801 36385 657
700110 36426 658
050909 36435 659
700109 36485 660
710814 36496 661
420403 36544 662
230405 36606 663
280403 36620 664
132307 36623 665
230501 36718 666
700201 36751 667
510302 36757 668
211102 36773 669
130208 36787 670
211112 36811 671
280407 36826 672
711608 36876 673
231007 36914 674
190408 36929 675
240206 36987 676
211808 37088 677
130204 37120 678
230607 37134 679
531301 37138 680
320303 37157 681
280601 37160 682
280609 37178 683
712806 37232 684
130405 37287 685
710416 37289 686
050205 37317 687
590107 37319 688
050515 37355 689
711611 37358 690
051404 37363 691
510307 37378 692
190418 37479 693
710807 37528 694
280401 37529 695
530314 37602 696
240202 37639 697
360409 37652 698
210908 37768 699
190411 37929 700
712506 38078 701
280603 38221 702
710911 38226 703
590309 38275 704
090205 38315 705
190420 38326 706
590307 38368 707
050907 38377 708
530322 38392 709
190511 38397 710
700505 38456 711
320308 38541 712
590115 38551 713
530319 38616 714
230904 38630 715
050601 38655 716
211704 38668 717
210601 38693 718
231206 38708 719
700113 38766 720
190407 38786 721
210805 38811 722
510405 38865 723
190603 38889 724
211008 38917 725
570205 38959 726
211010 38981 727
280607 39018 728
420302 39025 729
590302 39050 730
700102 39056 731
190413 39104 732
711609 39171 733
510404 39372 734
050802 39402 735
190513 39426 736
190422 39505 737
231004 39648 738
320302 39729 739
230901 39770 740
230508 39771 741
760302 39775 742
050512 39812 743
280605 39831 744
280606 39834 745
050507 39842 746
050902 39884 747
030906 39941 748
590114 39976 749
190409 39986 750
050611 40082 751
130611 40121 752
360302 40174 753
710412 40175 754
190423 40197 755
130810 40233 756
700504 40285 757
710413 40355 758
700207 40379 759
280405 40581 760
700106 40662 761
050606 40728 762
050812 40760 763
420612 40796 764
130206 40811 765
230903 40856 767
700503 40856 767
570201 40881 768
320301 40895 769
030507 41003 770
570208 41035 771
700605 41039 772
420205 41126 773
051101 41162 774
212201 41228 775
710914 41306 776
230603 41334 777
190427 41342 778
